#Top: top   Floorplan: design_1   Part: xc7a35tcsg324-1
#Generated by: travis   on: Sun Dec 31 08:03:01 2017
#Build: Vivado v2017.3   by: xbuild   on: Wed Oct  4 19:58:07 MDT 2017
#Package Version: FINAL 2013-12-19
#Package Pin Delay Version: VERS. 2.0 2013-12-19

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
34,T8,IOB_X1Y1,IO_L24N_T3_34,62.528,63.156,,,ddram_a[13],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,T6,IOB_X1Y3,IO_L23N_T3_34,73.860,74.602,,,ddram_a[12],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U6,IOB_X1Y5,IO_L22N_T3_34,76.519,77.288,,,ddram_a[11],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R6,IOB_X1Y12,IO_L19P_T3_34,68.134,68.819,,,ddram_a[10],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,V7,IOB_X1Y10,IO_L20P_T3_34,84.331,85.179,,,ddram_a[9],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R8,IOB_X1Y2,IO_L24P_T3_34,66.921,67.594,,,ddram_a[8],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U7,IOB_X1Y6,IO_L22P_T3_34,77.679,78.460,,,ddram_a[7],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,V6,IOB_X1Y9,IO_L20N_T3_34,81.244,82.060,,,ddram_a[6],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R7,IOB_X1Y4,IO_L23P_T3_34,74.536,75.285,,,ddram_a[5],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,N6,IOB_X1Y13,IO_L18N_T2_34,53.262,53.798,,,ddram_a[4],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,T1,IOB_X1Y15,IO_L17N_T2_34,61.335,61.951,,,ddram_a[3],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,N4,IOB_X1Y17,IO_L16N_T2_34,51.941,52.463,,,ddram_a[2],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,M6,IOB_X1Y14,IO_L18P_T2_34,58.201,58.786,,,ddram_a[1],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R2,IOB_X1Y19,IO_L15N_T2_DQS_34,63.248,63.884,,,ddram_a[0],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,P2,IOB_X1Y20,IO_L15P_T2_DQS_34,64.450,65.098,,,ddram_ba[2],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,P4,IOB_X1Y22,IO_L14P_T2_SRCC_34,62.068,62.692,,,ddram_ba[1],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R1,IOB_X1Y16,IO_L17P_T2_34,61.894,62.516,,,ddram_ba[0],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U1,IOB_X1Y36,IO_L7P_T1_34,100.946,101.961,,,ddram_dm[1],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,L1,IOB_X1Y48,IO_L1P_T0_34,73.611,74.351,,,ddram_dm[0],OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R3,IOB_X1Y28,IO_L11P_T1_SRCC_34,76.616,77.386,,,ddram_dq[15],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,U3,IOB_X1Y33,IO_L8N_T1_34,112.860,113.994,,,ddram_dq[14],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,T3,IOB_X1Y27,IO_L11N_T1_SRCC_34,77.720,78.501,,,ddram_dq[13],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,V1,IOB_X1Y35,IO_L7N_T1_34,100.632,101.643,,,ddram_dq[12],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,V5,IOB_X1Y30,IO_L10P_T1_34,99.029,100.024,,,ddram_dq[11],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,U4,IOB_X1Y34,IO_L8P_T1_34,113.652,114.794,,,ddram_dq[10],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,T5,IOB_X1Y26,IO_L12P_T1_MRCC_34,81.110,81.925,,,ddram_dq[9],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,V4,IOB_X1Y29,IO_L10N_T1_34,104.350,105.399,,,ddram_dq[8],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,M2,IOB_X1Y41,IO_L4N_T0_34,57.185,57.760,,,ddram_dq[7],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,L4,IOB_X1Y39,IO_L5N_T0_34,56.810,57.381,,,ddram_dq[6],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,M1,IOB_X1Y47,IO_L1N_T0_34,74.188,74.934,,,ddram_dq[5],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,M3,IOB_X1Y42,IO_L4P_T0_34,56.717,57.287,,,ddram_dq[4],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,L6,IOB_X1Y38,IO_L6P_T0_34,54.929,55.481,,,ddram_dq[3],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,K3,IOB_X1Y46,IO_L2P_T0_34,57.630,58.209,,,ddram_dq[2],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,L3,IOB_X1Y45,IO_L2N_T0_34,59.085,59.679,,,ddram_dq[1],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,K5,IOB_X1Y40,IO_L5P_T0_34,53.967,54.509,,,ddram_dq[0],INOUT,,,SSTL15,,FAST,,,,,,,UNTUNED_SPLIT_40,,FP_VTT_50,,
34,V2,IOB_X1Y31,IO_L9N_T1_DQS_34,99.902,100.906,,,ddram_dqs_n[1],OUT,N,ddram_dqs_p[1],DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,N1,IOB_X1Y43,IO_L3N_T0_DQS_34,70.371,71.079,,,ddram_dqs_n[0],OUT,N,ddram_dqs_p[0],DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U2,IOB_X1Y32,IO_L9P_T1_DQS_34,94.142,95.088,,,ddram_dqs_p[1],OUT,P,ddram_dqs_n[1],DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,N2,IOB_X1Y44,IO_L3P_T0_DQS_34,76.609,77.379,,,ddram_dqs_p[0],OUT,P,ddram_dqs_n[0],DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
35,K2,IOB_X1Y54,IO_L23P_T3_35,64.718,65.368,,,rgb_leds_b[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H4,IOB_X1Y57,IO_L21N_T3_DQS_35,70.870,71.582,,,rgb_leds_b[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,G4,IOB_X1Y60,IO_L20P_T3_35,86.380,87.248,,,rgb_leds_b[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,E1,IOB_X1Y63,IO_L18N_T2_35,85.100,85.955,,,rgb_leds_b[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H6,IOB_X1Y52,IO_L24P_T3_35,62.843,63.474,,,rgb_leds_g[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,J2,IOB_X1Y55,IO_L22N_T3_35,58.825,59.416,,,rgb_leds_g[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,J4,IOB_X1Y58,IO_L21P_T3_DQS_35,69.011,69.704,,,rgb_leds_g[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,F6,IOB_X1Y61,IO_L19N_T3_VREF_35,75.844,76.606,,,rgb_leds_g[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,K1,IOB_X1Y53,IO_L23N_T3_35,66.355,67.022,,,rgb_leds_r[3],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,J3,IOB_X1Y56,IO_L22P_T3_35,60.809,61.420,,,rgb_leds_r[2],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,G3,IOB_X1Y59,IO_L20N_T3_35,81.676,82.497,,,rgb_leds_r[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,G6,IOB_X1Y62,IO_L19P_T3_35,79.031,79.826,,,rgb_leds_r[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,E3,IOB_X1Y76,IO_L12P_T1_MRCC_35,84.179,85.025,,,clk100,IN,,,LVCMOS33,,,,,,,,,,,,,
35,C2,IOB_X1Y68,IO_L16P_T2_35,108.552,109.643,,,cpu_reset,IN,,,LVCMOS33,,,,,,,,,,,,,
34,M4,IOB_X1Y18,IO_L16P_T2_34,53.065,53.598,,,ddram_cas_n,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,N5,IOB_X1Y24,IO_L13P_T2_MRCC_34,52.288,52.813,,,ddram_cke,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,V9,IOB_X1Y7,IO_L21N_T3_DQS_34,75.158,75.913,,,ddram_clk_n,OUT,N,ddram_clk_p,DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U9,IOB_X1Y8,IO_L21P_T3_DQS_34,82.089,82.914,,,ddram_clk_p,OUT,P,ddram_clk_n,DIFF_SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,U8,IOB_X1Y0,IO_25_34,54.719,55.268,,,ddram_cs_n,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,R5,IOB_X1Y11,IO_L19N_T3_VREF_34,64.182,64.827,,,ddram_odt,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,P3,IOB_X1Y21,IO_L14N_T2_SRCC_34,59.007,59.600,,,ddram_ras_n,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,K6,IOB_X1Y49,IO_0_34,33.750,34.089,,,ddram_reset_n,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
34,P5,IOB_X1Y23,IO_L13N_T2_MRCC_34,53.376,53.912,,,ddram_we_n,OUT,,,SSTL15,,FAST,,,,,,,,,FP_VTT_50,,
15,G18,IOB_X0Y56,IO_L22P_T3_A17_15,92.839,93.772,,,eth_ref_clk,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
16,A9,IOB_X0Y121,IO_L14N_T2_SRCC_16,133.481,134.823,,,serial_rx,IN,,,LVCMOS33,,,,,,,,,,,,,
16,D10,IOB_X0Y111,IO_L19N_T3_VREF_16,62.014,62.637,,,serial_tx,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,L13,IOB_X0Y38,IO_L6P_T0_FCS_B_14,66.112,66.776,,,spiflash_1x_cs_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,M14,IOB_X0Y45,IO_L2N_T0_D03_14,72.805,73.536,,,spiflash_1x_hold,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,K18,IOB_X0Y47,IO_L1N_T0_D01_DIN_14,82.584,83.414,,,spiflash_1x_miso,IN,,,LVCMOS33,,,,,,,,,,,,,
14,K17,IOB_X0Y48,IO_L1P_T0_D00_MOSI_14,78.073,78.858,,,spiflash_1x_mosi,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,L14,IOB_X0Y46,IO_L2P_T0_D02_14,79.818,80.620,,,spiflash_1x_wp,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H5,IOB_X1Y51,IO_L24N_T3_35,66.063,66.727,,,user_led0,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,J5,IOB_X1Y50,IO_25_35,48.192,48.676,,,user_led1,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,T9,IOB_X0Y2,IO_L24P_T3_A01_D17_14,86.414,87.283,,,user_led2,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
14,T10,IOB_X0Y1,IO_L24N_T3_A00_D16_14,79.932,80.735,,,user_led3,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
0,K9,IPAD_X0Y1,VN_0,86.665,87.536,,,,,,,,,,,,,,,,,,,,
0,J10,IPAD_X0Y0,VP_0,83.118,83.954,,,,,,,,,,,,,,,,,,,,
0,P10,,DONE_0,48.313,48.799,,,,,,,,,,,,,,,,,,,,
0,L10,,DXP_0,83.955,84.799,,,,,,,,,,,,,,,,,,,,
0,H9,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,,
0,H10,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,,
0,K10,,VREFP_0,91.384,92.303,,,,,,,,,,,,,,,,,,,,
